[2025-05-11 13:13:28] INFO: Koneksi ke database berhasil
[2025-05-11 13:13:28] INFO: Server berjalan di http://localhost:8080
[2025-05-11 13:13:32] INFO: Koneksi ke database berhasil
[2025-05-11 13:13:32] INFO: Server berjalan di http://localhost:8080
[2025-05-11 13:13:35] INFO: Koneksi ke database berhasil
[2025-05-11 13:13:35] INFO: Server berjalan di http://localhost:8080
[2025-05-11 13:31:56] INFO: Method=GET, IP=127.0.0.1:38336, User-Agent=GuzzleHttp/7, Endpoint=/tasks-ongoing, Status=200, ResponseTime=541µs, Message=Fetched ongoing tasks
[2025-05-11 13:31:56] INFO: Method=GET, IP=127.0.0.1:38350, User-Agent=GuzzleHttp/7, Endpoint=/tasks-completed, Status=200, ResponseTime=268.1µs, Message=Fetched completed tasks
[2025-05-11 13:31:56] INFO: Method=GET, IP=127.0.0.1:38352, User-Agent=GuzzleHttp/7, Endpoint=/tasks-ongoing, Status=200, ResponseTime=280µs, Message=Fetched ongoing tasks
[2025-05-11 13:31:56] INFO: Method=GET, IP=127.0.0.1:38356, User-Agent=GuzzleHttp/7, Endpoint=/tasks-completed, Status=200, ResponseTime=615.7µs, Message=Fetched completed tasks
[2025-05-11 13:33:12] INFO: Method=GET, IP=127.0.0.1:54034, User-Agent=GuzzleHttp/7, Endpoint=/tasks-ongoing, Status=200, ResponseTime=1.5392ms, Message=Fetched ongoing tasks
[2025-05-11 13:33:12] INFO: Method=GET, IP=127.0.0.1:54046, User-Agent=GuzzleHttp/7, Endpoint=/tasks-completed, Status=200, ResponseTime=636.5µs, Message=Fetched completed tasks
[2025-05-11 13:33:13] INFO: Method=GET, IP=127.0.0.1:54056, User-Agent=GuzzleHttp/7, Endpoint=/tasks-ongoing, Status=200, ResponseTime=338.8µs, Message=Fetched ongoing tasks
[2025-05-11 13:33:13] INFO: Method=GET, IP=127.0.0.1:54060, User-Agent=GuzzleHttp/7, Endpoint=/tasks-completed, Status=200, ResponseTime=329.2µs, Message=Fetched completed tasks
[2025-05-11 13:33:38] INFO: Method=GET, IP=127.0.0.1:57216, User-Agent=GuzzleHttp/7, Endpoint=/tasks-ongoing, Status=200, ResponseTime=845.6µs, Message=Fetched ongoing tasks
[2025-05-11 13:33:38] INFO: Method=GET, IP=127.0.0.1:57230, User-Agent=GuzzleHttp/7, Endpoint=/tasks-completed, Status=200, ResponseTime=505µs, Message=Fetched completed tasks
[2025-05-11 13:34:02] INFO: Method=GET, IP=127.0.0.1:36950, User-Agent=GuzzleHttp/7, Endpoint=/tasks-ongoing, Status=200, ResponseTime=782.5µs, Message=Fetched ongoing tasks
[2025-05-11 13:34:02] INFO: Method=GET, IP=127.0.0.1:36966, User-Agent=GuzzleHttp/7, Endpoint=/tasks-completed, Status=200, ResponseTime=516.5µs, Message=Fetched completed tasks
[2025-05-11 13:34:03] INFO: Method=GET, IP=127.0.0.1:36970, User-Agent=GuzzleHttp/7, Endpoint=/tasks-ongoing, Status=200, ResponseTime=465.9µs, Message=Fetched ongoing tasks
[2025-05-11 13:34:03] INFO: Method=GET, IP=127.0.0.1:36980, User-Agent=GuzzleHttp/7, Endpoint=/tasks-completed, Status=200, ResponseTime=413.2µs, Message=Fetched completed tasks
[2025-05-11 13:34:06] INFO: Method=GET, IP=127.0.0.1:36988, User-Agent=GuzzleHttp/7, Endpoint=/tasks-id, Status=200, ResponseTime=651.2µs, Message=Fetched task by ID
[2025-05-11 13:34:06] INFO: Method=GET, IP=127.0.0.1:36990, User-Agent=GuzzleHttp/7, Endpoint=/tasks-ongoing, Status=200, ResponseTime=271.9µs, Message=Fetched ongoing tasks
[2025-05-11 13:34:06] INFO: Method=GET, IP=127.0.0.1:37002, User-Agent=GuzzleHttp/7, Endpoint=/tasks-completed, Status=200, ResponseTime=319µs, Message=Fetched completed tasks
